target_city,anchor_budget,target,universe,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery,top_k
Konya,1,total,strict_holdout,1,999,base_0948,2.2664535289138388,2.916850580178924,0.9921661591775116,0.9972882341259092,0.9584313772690528,0.4930189999999754,0.98,50
Konya,3,heating,strict_holdout,3,997,base_0948|base_0945|base_0724,1.6818779399438983,2.108827811784771,0.9967861851379808,0.9986484915305592,0.9730597414734165,0.0,0.98,50
Konya,3,cooling,strict_holdout,3,997,base_0948|base_0945|base_0724,0.6114045898172955,0.7988059991579258,0.993362521353753,0.9987617680770056,0.971085948608879,0.1541040000000002,0.96,50
Konya,3,total,strict_holdout,3,997,base_0948|base_0945|base_0724,1.7480336303487607,2.233010871124649,0.9954153438360458,0.9971120958791097,0.9598313011323126,0.0,0.98,50
Sanliurfa,1,heating,strict_holdout,1,999,base_0948,4.674014365172883,5.708167529966529,0.9419594156326212,0.984944700211233,0.9158236392705332,0.0,0.94,50
Sanliurfa,1,cooling,strict_holdout,1,999,base_0948,5.389670110671592,7.01351836619855,0.8096309159236845,0.9518719842086576,0.806676415894853,2.546134000000009,0.54,50
Sanliurfa,1,total,strict_holdout,1,999,base_0948,5.900101136089776,7.233850906500448,0.9172610494049198,0.9770200822064548,0.8797394588977757,3.934656999999987,0.72,50
Sanliurfa,3,heating,strict_holdout,3,997,base_0948|base_0945|base_0724,2.997232606385309,3.7484298844877175,0.9750115621448222,0.990012931810377,0.927440957410384,0.0,0.98,50
Sanliurfa,3,cooling,strict_holdout,3,997,base_0948|base_0945|base_0724,3.490733234710006,4.675588855269704,0.9155257652742907,0.963841290876517,0.8312044567437252,2.546134000000009,0.54,50
Sanliurfa,3,total,strict_holdout,3,997,base_0948|base_0945|base_0724,4.24320589206374,5.153052766231964,0.9580669303263316,0.9854337259066962,0.9029135599569794,0.9413959999999976,0.94,50
