protocol,target_city,target,comparison_budget,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
zero_shot_absolute_aligned_3shot,Bingol,total,3,0,997,base_0948|base_0945|base_0724,50.38123767945223,50.761072164157135,-0.9971114563115451,0.9816128008333862,0.8868533310775701,1.6042380000000094,0.88
3_shot_global_bias,Bingol,heating,3,3,997,base_0948|base_0945|base_0724,4.68283902246541,5.932533655510459,0.9777585251792197,0.9937223724194292,0.9333703923014023,6.005963000000008,0.96
3_shot_global_bias,Bingol,cooling,3,3,997,base_0948|base_0945|base_0724,1.124049554838022,1.628642890400009,0.9726271498752016,0.994526287758555,0.9362776444575855,0.13016700000000014,0.88
3_shot_global_bias,Bingol,total,3,3,997,base_0948|base_0945|base_0724,5.216820117481333,6.413208387621904,0.9681219730395363,0.9816128008333862,0.8868533310775701,1.6042380000000094,0.88
3_shot_raw_relative,Bingol,heating,3,3,997,base_0948|base_0945|base_0724,6.25992427211158,7.369068841417215,0.9656830732452002,0.9928732160699691,0.9345264709792028,15.46803100000001,0.94
3_shot_raw_relative,Bingol,cooling,3,3,997,base_0948|base_0945|base_0724,1.3780791016203247,2.2246374931767425,0.9489275386172759,0.9952529316951024,0.9409271992684884,0.0,0.92
3_shot_raw_relative,Bingol,total,3,3,997,base_0948|base_0945|base_0724,6.001054825006992,7.16486543180465,0.9602115697182261,0.9868330757053739,0.910518704708503,4.530647000000016,0.94
zero_shot_absolute,Canakkale,heating,0,0,1000,,4.256112277587859,5.338419413808833,0.9419961283554728,0.9886550926550928,0.9182422422422424,0.0,0.94
zero_shot_absolute,Canakkale,cooling,0,0,1000,,12.778834479213735,12.820454508594777,-0.10334604223317889,0.998016926016926,0.96586986986987,0.0,0.98
zero_shot_absolute,Canakkale,total,0,0,1000,,15.184752615191735,15.799133336255572,0.35024117927398035,0.9779200019200021,0.8746146146146146,1.6226949999999931,0.94
zero_shot_absolute_aligned_1shot,Canakkale,heating,1,0,999,base_0948,4.2549597674544595,5.338349846730586,0.9420465740907067,0.9886990798413643,0.9183592410045317,0.0,0.94
zero_shot_absolute_aligned_1shot,Canakkale,cooling,1,0,999,base_0948,12.779825151606069,12.821445282935537,-0.10295523773411808,0.9980183791005433,0.9659178216292447,0.0,0.98
zero_shot_absolute_aligned_1shot,Canakkale,total,1,0,999,base_0948,15.182731216399505,15.797664330074685,0.3505036693643172,0.9778792299313339,0.8745318464757343,1.6226949999999931,0.94
1_shot_global_bias,Canakkale,heating,1,1,999,base_0948,4.709772627377659,5.634244309719476,0.9354440315889792,0.9886990798413643,0.9183592410045317,0.0,0.94
1_shot_global_bias,Canakkale,cooling,1,1,999,base_0948,1.1334301363196566,1.4307201077128557,0.9862661189193527,0.9980183791005433,0.9659178216292447,0.0,0.98
1_shot_global_bias,Canakkale,total,1,1,999,base_0948,4.037484721966676,4.806935598009479,0.9398649680936726,0.9778792299313339,0.8745318464757343,1.6226949999999931,0.94
1_shot_raw_relative,Canakkale,heating,1,1,999,base_0948,3.4517425011059566,5.340629144951546,0.9419970751466283,0.9982982541659893,0.9651435002136406,0.0,0.94
1_shot_raw_relative,Canakkale,cooling,1,1,999,base_0948,0.7692439605231295,1.1253786947950122,0.9915026932026021,0.9985203199191175,0.9698094888475651,0.0,0.96
1_shot_raw_relative,Canakkale,total,1,1,999,base_0948,2.9682585537517965,5.0006284156510326,0.9349211144356061,0.9931840016369075,0.9295929195728796,3.440056999999996,0.7
